,DATE,COUNT,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
0,2018-01-01,1213,9.5625,0.0,0.0,15.666666666666666,21.166666666666668,8.25
1,2018-01-02,3792,7.7725,0.0003260869565217,0.0064102564102564,16.333333333333332,22.75,9.333333333333334
2,2018-01-03,4748,3.8575,0.0,0.0,18.33333333333333,27.166666666666668,7.166666666666667
3,2018-01-04,2368,19.9675,0.0772916666666666,1.0518518518518518,24.666666666666668,30.46153846153846,9.916666666666666
4,2018-01-05,2709,16.4425,0.0064516129032258,0.0408450704225352,15.0,23.07692307692308,10.076923076923077
5,2018-01-06,1489,14.1475,0.0,0.0,13.333333333333334,18.46153846153846,7.0
6,2018-01-07,1753,6.2075,0.0,0.0,13.0,19.53846153846154,3.0
7,2018-01-08,4080,6.095,0.0084615384615384,0.0051282051282051,23.0,27.923076923076923,8.846153846153847
8,2018-01-09,6124,3.915,0.051578947368421,0.0066666666666666,36.333333333333336,41.46153846153846,21.07692307692308
9,2018-01-10,7101,2.91,0.0002150537634408,0.0,33.333333333333336,45.69230769230769,24.307692307692307
10,2018-01-11,8210,4.5275,0.0008888888888888,0.0,46.0,49.84615384615385,30.692307692307693
11,2018-01-12,5850,10.4025,0.212,0.0,60.0,63.46153846153846,44.07692307692308
12,2018-01-13,3378,17.505000000000003,0.5695959595959597,0.0,43.66666666666666,65.53846153846153,28.307692307692307
13,2018-01-14,2340,10.625,0.0005681818181818,0.0,21.33333333333333,32.23076923076923,14.692307692307692
14,2018-01-15,3323,4.8675,0.0018681318681318,0.0,21.33333333333333,27.23076923076923,13.384615384615383
15,2018-01-16,6836,2.625,0.0007777777777777,0.0025974025974025,31.0,34.083333333333336,20.08333333333333
16,2018-01-17,4108,12.5825,0.0569902912621359,0.6647727272727273,28.33333333333333,37.5,20.83333333333333
17,2018-01-18,6197,8.56,0.0021505376344086,0.0155844155844155,27.0,32.416666666666664,15.916666666666666
18,2018-01-19,7604,4.305,0.0,0.0,35.666666666666664,47.083333333333336,19.58333333333333
19,2018-01-20,8033,4.5275,0.0,0.0,38.66666666666666,56.07692307692308,23.384615384615383
20,2018-01-21,6542,3.8575,0.0,0.0,43.0,59.53846153846154,28.0
21,2018-01-22,9385,6.71,0.0003191489361702,0.0,52.66666666666666,62.23076923076923,37.30769230769231
22,2018-01-23,8200,11.1875,0.1019626168224299,0.0,55.66666666666666,64.84615384615384,45.0
23,2018-01-24,7728,11.7425,0.0256435643564356,0.0,43.66666666666666,57.61538461538461,36.76923076923077
24,2018-01-25,7096,8.2775,0.0,0.0,35.0,42.91666666666666,27.916666666666668
25,2018-01-26,7294,4.305,0.0,0.0,32.666666666666664,42.083333333333336,21.666666666666668
26,2018-01-27,8707,10.3425,0.0,0.0,43.333333333333336,52.833333333333336,25.83333333333333
27,2018-01-28,2867,5.8125,0.0940816326530612,0.0,52.66666666666666,59.69230769230769,40.583333333333336
28,2018-01-29,7265,8.8375,0.1399999999999999,0.0,45.333333333333336,49.91666666666666,40.66666666666666
29,2018-01-30,5863,14.7075,0.0081,0.0492307692307692,35.0,42.61538461538461,27.153846153846157
30,2018-01-31,6387,8.5,0.0,0.0,25.33333333333333,35.5,18.0
31,2018-02-01,7732,8.78,0.0076086956521739,0.0,41.66666666666666,43.76923076923077,26.153846153846157
32,2018-02-02,5199,14.5975,0.0928,0.0,35.333333333333336,47.75,23.916666666666668
33,2018-02-03,3794,7.885,0.0,0.0,22.33333333333333,31.83333333333333,12.166666666666666
34,2018-02-04,1428,6.32,0.1498863636363636,0.0114285714285714,32.666666666666664,34.61538461538461,21.07692307692308
35,2018-02-05,5895,8.780000000000001,0.9804040404040404,0.0282608695652173,33.0,36.07692307692308,27.615384615384617
36,2018-02-06,6856,4.4725,0.0,0.0,30.33333333333333,37.15384615384615,23.923076923076923
37,2018-02-07,4239,6.71,0.0842553191489361,0.0,32.666666666666664,39.76923076923077,26.846153846153847
38,2018-02-08,6525,9.225,0.3892708333333333,0.0,32.0,38.15384615384615,23.384615384615383
39,2018-02-09,7013,5.5375,0.0,0.0,31.33333333333333,39.69230769230769,22.46153846153846
40,2018-02-10,2097,3.58,0.103875,0.0,40.333333333333336,46.76923076923077,27.23076923076923
41,2018-02-11,3336,6.3175,1.6617582417582415,0.0,51.333333333333336,56.15384615384615,39.15384615384615
42,2018-02-12,6857,10.9625,0.3750537634408602,0.0,52.0,65.84615384615384,40.84615384615385
43,2018-02-13,7235,6.5975,0.039010989010989,0.0,36.0,45.69230769230769,27.923076923076923
44,2018-02-14,8040,5.8175,0.0090217391304347,0.0,39.333333333333336,44.76923076923077,30.07692307692308
45,2018-02-15,9759,8.3325,0.0595049504950495,0.0,54.333333333333336,61.15384615384615,37.30769230769231
46,2018-02-16,6922,9.9,0.1261458333333333,0.0,61.0,70.61538461538461,45.23076923076923
47,2018-02-17,3121,6.2075,0.0971578947368421,0.5812499999999999,37.0,54.38461538461539,30.23076923076923
48,2018-02-18,6957,4.585,0.4934042553191489,1.1777777777777778,38.0,44.0,30.384615384615383
49,2018-02-19,4581,5.65,0.019438202247191,0.0,40.0,49.75,33.666666666666664
50,2018-02-20,10989,10.9625,0.0139130434782608,0.0,57.333333333333336,61.61538461538461,41.333333333333336
51,2018-02-21,11806,10.0675,0.0011627906976744,0.0,67.0,78.23076923076923,52.61538461538461
52,2018-02-22,7294,10.7375,0.0182795698924731,0.0,58.0,74.6923076923077,48.69230769230769
53,2018-02-23,6881,4.6975,0.1389215686274509,0.0,42.333333333333336,51.0,39.07692307692308
