DATE,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
2018-01-01,9.5625,0.0,0.0,15.666666666666666,21.166666666666668,8.25
2018-01-02,7.7725,0.0003260869565217391,0.00641025641025641,16.333333333333332,22.75,9.333333333333334
2018-01-03,3.8575,0.0,0.0,18.333333333333332,27.166666666666668,7.166666666666667
2018-01-04,19.9675,0.07729166666666666,1.0518518518518518,24.666666666666668,30.46153846153846,9.916666666666666
2018-01-05,16.4425,0.0064516129032258064,0.04084507042253521,15.0,23.076923076923077,10.076923076923077
2018-01-06,14.147499999999999,0.0,0.0,13.333333333333334,18.46153846153846,7.0
2018-01-07,6.2075,0.0,0.0,13.0,19.53846153846154,3.0
2018-01-08,6.095,0.008461538461538461,0.005128205128205128,23.0,27.923076923076923,8.846153846153847
2018-01-09,3.915,0.05157894736842106,0.006666666666666668,36.333333333333336,41.46153846153846,21.076923076923077
2018-01-10,2.91,0.00021505376344086021,0.0,33.333333333333336,45.69230769230769,24.307692307692307
2018-01-11,4.5275,0.0008888888888888889,0.0,46.0,49.84615384615385,30.692307692307693
2018-01-12,10.4025,0.212,0.0,60.0,63.46153846153846,44.07692307692308
2018-01-13,17.505000000000003,0.5695959595959597,0.0,43.666666666666664,65.53846153846153,28.307692307692307
2018-01-14,10.625,0.0005681818181818183,0.0,21.333333333333332,32.23076923076923,14.692307692307692
2018-01-15,4.8675,0.0018681318681318683,0.0,21.333333333333332,27.23076923076923,13.384615384615385
2018-01-16,2.625,0.0007777777777777778,0.0025974025974025974,31.0,34.083333333333336,20.083333333333332
2018-01-17,12.5825,0.05699029126213592,0.6647727272727273,28.333333333333332,37.5,20.833333333333332
2018-01-18,8.56,0.002150537634408602,0.015584415584415584,27.0,32.416666666666664,15.916666666666666
2018-01-19,4.305,0.0,0.0,35.666666666666664,47.083333333333336,19.583333333333332
2018-01-20,4.5275,0.0,0.0,38.666666666666664,56.07692307692308,23.384615384615383
2018-01-21,3.8575,0.0,0.0,43.0,59.53846153846154,28.0
2018-01-22,6.71,0.00031914893617021275,0.0,52.666666666666664,62.23076923076923,37.30769230769231
2018-01-23,11.1875,0.10196261682242991,0.0,55.666666666666664,64.84615384615384,45.0
2018-01-24,11.7425,0.025643564356435646,0.0,43.666666666666664,57.61538461538461,36.76923076923077
2018-01-25,8.2775,0.0,0.0,35.0,42.916666666666664,27.916666666666668
2018-01-26,4.305,0.0,0.0,32.666666666666664,42.083333333333336,21.666666666666668
2018-01-27,10.342500000000001,0.0,0.0,43.333333333333336,52.833333333333336,25.833333333333332
2018-01-28,5.8125,0.09408163265306123,0.0,52.666666666666664,59.69230769230769,40.583333333333336
2018-01-29,8.8375,0.13999999999999999,0.0,45.333333333333336,49.916666666666664,40.666666666666664
2018-01-30,14.7075,0.008100000000000001,0.04923076923076923,35.0,42.61538461538461,27.153846153846153
2018-01-31,8.5,0.0,0.0,25.333333333333332,35.5,18.0
2018-02-01,8.78,0.0076086956521739125,0.0,41.666666666666664,43.76923076923077,26.153846153846153
2018-02-02,14.5975,0.0928,0.0,35.333333333333336,47.75,23.916666666666668
2018-02-03,7.885,0.0,0.0,22.333333333333332,31.833333333333332,12.166666666666666
2018-02-04,6.32,0.14988636363636362,0.011428571428571429,32.666666666666664,34.61538461538461,21.076923076923077
2018-02-05,8.780000000000001,0.9804040404040404,0.02826086956521739,33.0,36.07692307692308,27.615384615384617
2018-02-06,4.4725,0.0,0.0,30.333333333333332,37.15384615384615,23.923076923076923
2018-02-07,6.71,0.08425531914893616,0.0,32.666666666666664,39.76923076923077,26.846153846153847
2018-02-08,9.225,0.3892708333333333,0.0,32.0,38.15384615384615,23.384615384615383
2018-02-09,5.5375,0.0,0.0,31.333333333333332,39.69230769230769,22.46153846153846
2018-02-10,3.58,0.10387500000000001,0.0,40.333333333333336,46.76923076923077,27.23076923076923
2018-02-11,6.3175,1.6617582417582417,0.0,51.333333333333336,56.15384615384615,39.15384615384615
2018-02-12,10.9625,0.3750537634408602,0.0,52.0,65.84615384615384,40.84615384615385
2018-02-13,6.5975,0.03901098901098901,0.0,36.0,45.69230769230769,27.923076923076923
2018-02-14,5.8175,0.009021739130434782,0.0,39.333333333333336,44.76923076923077,30.076923076923077
2018-02-15,8.3325,0.0595049504950495,0.0,54.333333333333336,61.15384615384615,37.30769230769231
2018-02-16,9.9,0.12614583333333332,0.0,61.0,70.61538461538461,45.23076923076923
2018-02-17,6.2075,0.09715789473684211,0.5812499999999999,37.0,54.38461538461539,30.23076923076923
2018-02-18,4.585,0.49340425531914894,1.1777777777777778,38.0,44.0,30.384615384615383
2018-02-19,5.65,0.019438202247191012,0.0,40.0,49.75,33.666666666666664
2018-02-20,10.9625,0.01391304347826087,0.0,57.333333333333336,61.61538461538461,41.333333333333336
2018-02-21,10.067499999999999,0.0011627906976744186,0.0,67.0,78.23076923076923,52.61538461538461
2018-02-22,10.7375,0.01827956989247312,0.0,58.0,74.6923076923077,48.69230769230769
2018-02-23,4.6975,0.13892156862745098,0.0,42.333333333333336,51.0,39.07692307692308
2018-02-24,5.3675,0.09329787234042553,0.0,47.666666666666664,49.92307692307692,41.30769230769231
2018-02-25,3.4675000000000002,0.2528125,0.0,48.333333333333336,51.84615384615385,45.84615384615385
2018-02-26,4.7524999999999995,0.12368421052631579,0.0,49.333333333333336,52.76923076923077,41.84615384615385
2018-02-27,5.202500000000001,0.0006666666666666668,0.0,43.666666666666664,53.69230769230769,29.846153846153847
2018-02-28,8.5575,0.00022727272727272727,0.0,49.666666666666664,60.5,37.333333333333336
2018-03-01,3.69,0.027528089887640453,0.0,51.666666666666664,59.666666666666664,43.416666666666664
2018-03-02,28.52,0.20489795918367348,0.005,44.666666666666664,53.0,37.84615384615385
2018-03-03,19.9675,0.005000000000000001,0.0015625,41.666666666666664,48.23076923076923,34.53846153846154
2018-03-04,14.26,0.0,0.0,41.666666666666664,50.0,33.07692307692308
2018-03-05,11.185,0.0,0.0,38.333333333333336,48.5,28.615384615384617
2018-03-06,6.265000000000001,0.021318681318681316,0.045454545454545456,37.0,45.416666666666664,26.153846153846153
2018-03-07,10.68,0.3070833333333333,0.6262295081967214,38.0,44.84615384615385,30.153846153846153
2018-03-08,11.2375,0.03021978021978022,0.010416666666666666,38.0,46.07692307692308,30.692307692307693
