,route
238,"[(38.90112, -77.05143), (38.90113, -77.05143), (38.90124, -77.05132), (38.90188, -77.05073), (38.902, -77.05061), (38.90209, -77.05052), (38.90206, -77.05044), (38.90204, -77.05038), (38.90203, -77.05032), (38.90202, -77.05013), (38.90202, -77.04996), (38.90203, -77.04992), (38.90204, -77.04987), (38.90206, -77.0498), (38.90209, -77.04972), (38.90213, -77.04967), (38.90217, -77.04962), (38.90222, -77.04949), (38.90233, -77.04931), (38.90236, -77.04925), (38.90238, -77.04919), (38.9024, -77.049), (38.9024, -77.04882), (38.9024, -77.04871), (38.9024, -77.04857), (38.9024, -77.04726), (38.9024, -77.04665), (38.9024, -77.04588), (38.9024, -77.0456), (38.9024, -77.04553), (38.9024, -77.04491), (38.9024, -77.04422), (38.9024, -77.04413), (38.9024, -77.04347), (38.9024, -77.04299), (38.9024, -77.04243), (38.90239, -77.0417), (38.9024, -77.04122), (38.9024, -77.04079), (38.9024, -77.0406), (38.9024, -77.03962), (38.9024, -77.03957), (38.9024, -77.03951), (38.90253, -77.03939), (38.90253, -77.03927), (38.90253, -77.03867), (38.90253, -77.03852), (38.90253, -77.03837), (38.90253, -77.037), (38.90253, -77.03668), (38.90253, -77.03654), (38.90254, -77.0364), (38.90253, -77.03552), (38.90253, -77.03475), (38.90253, -77.03469), (38.90253, -77.03458), (38.90254, -77.03444), (38.90254, -77.0338), (38.90253, -77.03363), (38.90253, -77.03348), (38.90253, -77.03324), (38.90253, -77.03307), (38.90253, -77.03285), (38.90253, -77.03213), (38.90253, -77.03195), (38.90253, -77.03179), (38.90253, -77.03051), (38.90253, -77.0298), (38.90253, -77.02963), (38.90253, -77.02946), (38.90253, -77.02921), (38.90253, -77.02849), (38.90253, -77.02826), (38.90253, -77.0282), (38.90253, -77.0281), (38.90253, -77.02796), (38.90253, -77.02719), (38.90253, -77.02703), (38.90253, -77.02688), (38.90253, -77.02611), (38.90253, -77.02599), (38.90242, -77.02599), (38.90164, -77.02599), (38.90154, -77.02598), (38.9014, -77.02598), (38.90133, -77.02598), (38.90098, -77.02599), (38.90089, -77.02599), (38.90078, -77.02599), (38.89991, -77.02599), (38.89982, -77.02599), (38.89972, -77.02599), (38.89906, -77.026), (38.89842, -77.026), (38.89832, -77.026), (38.89823, -77.026), (38.89746, -77.026), (38.89735, -77.026), (38.89724, -77.02599), (38.89625, -77.02599), (38.89614, -77.02599), (38.89614, -77.026)]"
239,"[(38.91558, -77.0379), (38.91559, -77.03789), (38.91559, -77.03779), (38.91559, -77.03716), (38.91559, -77.03664), (38.91559, -77.03651), (38.91559, -77.0364), (38.91559, -77.03587), (38.91559, -77.0351), (38.91559, -77.03468), (38.91559, -77.03463), (38.91559, -77.03453), (38.91559, -77.03324), (38.91559, -77.0326), (38.91559, -77.03217), (38.91559, -77.03205), (38.91559, -77.03196), (38.91549, -77.03195), (38.91484, -77.03195), (38.91476, -77.03195), (38.91419, -77.03196), (38.9141, -77.03195), (38.91402, -77.03195), (38.91345, -77.03195), (38.91335, -77.03195), (38.91271, -77.03195), (38.91261, -77.03195), (38.91251, -77.03195), (38.91195, -77.03195), (38.91187, -77.03195), (38.91179, -77.03195), (38.91121, -77.03195), (38.91114, -77.03195), (38.91114, -77.03187), (38.91114, -77.0318), (38.91114, -77.03138), (38.91114, -77.0309), (38.91114, -77.02974), (38.91114, -77.02962), (38.91114, -77.02951), (38.91114, -77.0289), (38.91114, -77.02875), (38.91114, -77.02861), (38.91114, -77.02818), (38.91114, -77.02809), (38.91114, -77.02799), (38.91114, -77.02769), (38.91114, -77.02758), (38.91114, -77.02718), (38.91113, -77.02706), (38.91112, -77.02704), (38.91071, -77.02704), (38.91062, -77.02704), (38.91048, -77.02704), (38.9104, -77.02704), (38.91027, -77.02704), (38.91009, -77.02704), (38.91, -77.02704), (38.90972, -77.02704), (38.90965, -77.02704), (38.90958, -77.02704), (38.9093, -77.02704), (38.90901, -77.02704), (38.90894, -77.02704), (38.90868, -77.02704), (38.90858, -77.02704), (38.9085, -77.02704), (38.90822, -77.02704), (38.90816, -77.02704), (38.90794, -77.02704), (38.90765, -77.02704), (38.9075, -77.02704), (38.90734, -77.02704), (38.90725, -77.02704), (38.90717, -77.02704), (38.90612, -77.02704), (38.90575, -77.02704), (38.90566, -77.02704), (38.90557, -77.02704), (38.90528, -77.02704), (38.90466, -77.02704), (38.90425, -77.02704), (38.90417, -77.02704), (38.90412, -77.02704), (38.90405, -77.02704), (38.90396, -77.02704), (38.90386, -77.02704), (38.90375, -77.02704), (38.90368, -77.02704), (38.90262, -77.02704), (38.90253, -77.02703), (38.90253, -77.02688), (38.90253, -77.02611), (38.90253, -77.02599), (38.90242, -77.02599), (38.90164, -77.02599), (38.90154, -77.02598), (38.9014, -77.02598), (38.90133, -77.02598), (38.90098, -77.02599), (38.90089, -77.02599), (38.90078, -77.02599), (38.89991, -77.02599), (38.89982, -77.02599), (38.89972, -77.02599), (38.89906, -77.026), (38.89842, -77.026), (38.89832, -77.026), (38.89823, -77.026), (38.89746, -77.026), (38.89735, -77.026), (38.89724, -77.02599), (38.89625, -77.02599), (38.89614, -77.02599), (38.89614, -77.026)]"
240,"[(38.89734, -77.01187), (38.89734, -77.01171), (38.89735, -77.01129), (38.89735, -77.01007), (38.89734, -77.00971), (38.89734, -77.0092), (38.89734, -77.00907), (38.89721, -77.00907), (38.89708, -77.00907), (38.89694, -77.00907), (38.89628, -77.00906), (38.89615, -77.00906), (38.89614, -77.00916), (38.89613, -77.00924), (38.89613, -77.00971), (38.89613, -77.01076), (38.89613, -77.01129), (38.89613, -77.01143), (38.89613, -77.01158), (38.89614, -77.01207), (38.89614, -77.01217), (38.89614, -77.01227), (38.89614, -77.01299), (38.89614, -77.01309), (38.89614, -77.01352), (38.89614, -77.01355), (38.89613, -77.01365), (38.89617, -77.0138), (38.89617, -77.01383), (38.89617, -77.01445), (38.89617, -77.015), (38.89616, -77.01503), (38.89613, -77.01517), (38.89613, -77.01532), (38.89613, -77.01572), (38.89613, -77.01607), (38.89614, -77.01618), (38.89615, -77.0163), (38.89615, -77.01641), (38.89616, -77.01657), (38.89616, -77.0182), (38.89615, -77.01858), (38.89614, -77.01882), (38.89614, -77.01893), (38.89613, -77.01905), (38.89613, -77.01945), (38.89613, -77.01976), (38.89613, -77.01991), (38.89614, -77.02006), (38.89614, -77.02178), (38.89614, -77.02192), (38.89614, -77.02204), (38.89614, -77.02284), (38.89614, -77.02297), (38.89614, -77.02309), (38.89614, -77.02352), (38.89613, -77.02384), (38.89614, -77.0239), (38.89614, -77.02397), (38.89615, -77.0241), (38.89614, -77.02521), (38.89614, -77.02587), (38.89614, -77.02599), (38.89614, -77.026)]"
241,"[(38.90373, -77.01417), (38.90374, -77.01417), (38.90384, -77.01421), (38.90415, -77.01432), (38.90467, -77.01451), (38.90474, -77.01454), (38.90498, -77.01463), (38.90519, -77.01471), (38.90522, -77.01472), (38.9053, -77.01475), (38.90535, -77.01477), (38.90543, -77.01481), (38.9054, -77.01492), (38.9053, -77.01522), (38.90525, -77.01537), (38.90519, -77.01552), (38.90501, -77.01605), (38.90496, -77.01618), (38.90492, -77.01631), (38.90476, -77.01668), (38.90473, -77.01677), (38.90451, -77.01739), (38.90434, -77.01786), (38.90423, -77.01819), (38.90412, -77.01848), (38.90401, -77.01881), (38.90397, -77.01893), (38.90392, -77.01906), (38.90369, -77.01976), (38.90364, -77.0199), (38.90352, -77.0199), (38.90344, -77.0199), (38.90326, -77.0199), (38.9027, -77.01991), (38.90265, -77.01991), (38.90252, -77.01991), (38.90242, -77.01991), (38.90162, -77.0199), (38.90147, -77.01991), (38.90134, -77.01991), (38.90098, -77.01991), (38.90088, -77.01991), (38.90078, -77.01991), (38.90024, -77.01991), (38.90016, -77.01991), (38.89993, -77.01991), (38.89982, -77.01991), (38.8997, -77.01991), (38.89868, -77.01991), (38.89843, -77.01991), (38.89832, -77.01991), (38.89821, -77.01991), (38.89746, -77.01991), (38.89735, -77.01991), (38.89735, -77.02006), (38.89735, -77.02066), (38.89734, -77.02133), (38.89734, -77.02177), (38.8973, -77.02186), (38.89726, -77.02192), (38.89723, -77.022), (38.89721, -77.02213), (38.89721, -77.02286), (38.89721, -77.02297), (38.89721, -77.02309), (38.89721, -77.02375), (38.89726, -77.0239), (38.89728, -77.02395), (38.89732, -77.02406), (38.89735, -77.02417), (38.89735, -77.02499), (38.89735, -77.02585), (38.89735, -77.02588), (38.89735, -77.026), (38.89724, -77.02599), (38.89625, -77.02599), (38.89614, -77.02599), (38.89614, -77.026)]"
242,"[(38.90724, -77.01285), (38.90724, -77.01225), (38.90724, -77.01217), (38.90716, -77.01216), (38.90634, -77.01216), (38.90581, -77.01365), (38.90566, -77.01412), (38.90554, -77.01448), (38.90548, -77.01465), (38.90546, -77.01472), (38.90543, -77.01481), (38.9054, -77.01492), (38.9053, -77.01522), (38.90525, -77.01537), (38.90519, -77.01552), (38.90501, -77.01605), (38.90496, -77.01618), (38.90492, -77.01631), (38.90476, -77.01668), (38.90473, -77.01677), (38.90451, -77.01739), (38.90434, -77.01786), (38.90423, -77.01819), (38.90412, -77.01848), (38.90401, -77.01881), (38.90397, -77.01893), (38.90392, -77.01906), (38.90369, -77.01976), (38.90364, -77.0199), (38.90352, -77.0199), (38.90344, -77.0199), (38.90326, -77.0199), (38.9027, -77.01991), (38.90265, -77.01991), (38.90252, -77.01991), (38.90242, -77.01991), (38.90162, -77.0199), (38.90147, -77.01991), (38.90134, -77.01991), (38.90098, -77.01991), (38.90088, -77.01991), (38.90078, -77.01991), (38.90024, -77.01991), (38.90016, -77.01991), (38.89993, -77.01991), (38.89982, -77.01991), (38.8997, -77.01991), (38.89868, -77.01991), (38.89843, -77.01991), (38.89832, -77.01991), (38.89821, -77.01991), (38.89746, -77.01991), (38.89735, -77.01991), (38.89735, -77.02006), (38.89735, -77.02066), (38.89734, -77.02133), (38.89734, -77.02177), (38.8973, -77.02186), (38.89726, -77.02192), (38.89723, -77.022), (38.89721, -77.02213), (38.89721, -77.02286), (38.89721, -77.02297), (38.89721, -77.02309), (38.89721, -77.02375), (38.89726, -77.0239), (38.89728, -77.02395), (38.89732, -77.02406), (38.89735, -77.02417), (38.89735, -77.02499), (38.89735, -77.02585), (38.89735, -77.02588), (38.89735, -77.026), (38.89724, -77.02599), (38.89625, -77.02599), (38.89614, -77.02599), (38.89614, -77.026)]"
243,"[(38.9126, -77.01736), (38.9126, -77.01736), (38.9126, -77.01744), (38.9126, -77.01749), (38.9126, -77.01801), (38.91261, -77.01815), (38.91261, -77.01852), (38.91261, -77.01884), (38.91261, -77.01894), (38.91261, -77.01902), (38.91261, -77.01939), (38.91261, -77.01973), (38.91261, -77.0199), (38.91254, -77.0199), (38.91156, -77.0199), (38.91121, -77.0199), (38.91114, -77.0199), (38.91106, -77.0199), (38.91005, -77.0199), (38.90964, -77.0199), (38.90933, -77.0199), (38.9089, -77.0199), (38.90857, -77.0199), (38.90724, -77.0199), (38.90691, -77.0199), (38.90688, -77.0199), (38.90627, -77.0199), (38.90565, -77.0199), (38.90427, -77.0199), (38.90418, -77.0199), (38.90408, -77.0199), (38.90373, -77.0199), (38.90364, -77.0199), (38.90352, -77.0199), (38.90344, -77.0199), (38.90326, -77.0199), (38.9027, -77.01991), (38.90265, -77.01991), (38.90252, -77.01991), (38.90242, -77.01991), (38.90162, -77.0199), (38.90147, -77.01991), (38.90134, -77.01991), (38.90098, -77.01991), (38.90088, -77.01991), (38.90078, -77.01991), (38.90024, -77.01991), (38.90016, -77.01991), (38.89993, -77.01991), (38.89982, -77.01991), (38.8997, -77.01991), (38.89868, -77.01991), (38.89843, -77.01991), (38.89832, -77.01991), (38.89821, -77.01991), (38.89746, -77.01991), (38.89735, -77.01991), (38.89735, -77.02006), (38.89735, -77.02066), (38.89734, -77.02133), (38.89734, -77.02177), (38.8973, -77.02186), (38.89726, -77.02192), (38.89723, -77.022), (38.89721, -77.02213), (38.89721, -77.02286), (38.89721, -77.02297), (38.89721, -77.02309), (38.89721, -77.02375), (38.89726, -77.0239), (38.89728, -77.02395), (38.89732, -77.02406), (38.89735, -77.02417), (38.89735, -77.02499), (38.89735, -77.02585), (38.89735, -77.02588), (38.89735, -77.026), (38.89724, -77.02599), (38.89625, -77.02599), (38.89614, -77.02599), (38.89614, -77.026)]"
244,"[(38.89876, -77.03363), (38.89866, -77.03362), (38.89832, -77.03363), (38.89822, -77.03363), (38.89748, -77.03362), (38.89736, -77.03362), (38.89736, -77.03349), (38.89736, -77.03212), (38.89736, -77.03195), (38.89736, -77.03179), (38.89736, -77.02978), (38.89736, -77.02962), (38.89736, -77.02946), (38.89736, -77.02822), (38.89736, -77.02811), (38.89736, -77.02793), (38.89736, -77.02721), (38.89736, -77.02704), (38.89736, -77.02686), (38.89736, -77.02649), (38.89736, -77.0261), (38.89735, -77.026), (38.89724, -77.02599), (38.89625, -77.02599), (38.89614, -77.02599), (38.89614, -77.026)]"
245,"[(38.89734, -77.0091), (38.89734, -77.00907), (38.89721, -77.00907), (38.89708, -77.00907), (38.89694, -77.00907), (38.89628, -77.00906), (38.89615, -77.00906), (38.89614, -77.00916), (38.89613, -77.00924), (38.89613, -77.00971), (38.89613, -77.01076), (38.89613, -77.01129), (38.89613, -77.01143), (38.89613, -77.01158), (38.89614, -77.01207), (38.89614, -77.01217), (38.89614, -77.01227), (38.89614, -77.01299), (38.89614, -77.01309), (38.89614, -77.01352), (38.89614, -77.01355), (38.89613, -77.01365), (38.89617, -77.0138), (38.89617, -77.01383), (38.89617, -77.01445), (38.89617, -77.015), (38.89616, -77.01503), (38.89613, -77.01517), (38.89613, -77.01532), (38.89613, -77.01572), (38.89613, -77.01607), (38.89614, -77.01618), (38.89615, -77.0163), (38.89615, -77.01641), (38.89616, -77.01657), (38.89616, -77.0182), (38.89615, -77.01858), (38.89614, -77.01882), (38.89614, -77.01893), (38.89613, -77.01905), (38.89613, -77.01945), (38.89613, -77.01976), (38.89613, -77.01991), (38.89614, -77.02006), (38.89614, -77.02178), (38.89614, -77.02192), (38.89614, -77.02204), (38.89614, -77.02284), (38.89614, -77.02297), (38.89614, -77.02309), (38.89614, -77.02352), (38.89613, -77.02384), (38.89614, -77.0239), (38.89614, -77.02397), (38.89615, -77.0241), (38.89614, -77.02521), (38.89614, -77.02587), (38.89614, -77.02599), (38.89614, -77.026)]"
246,"[(38.89956, -77.00901), (38.89956, -77.00891), (38.89956, -77.00704), (38.89956, -77.00695), (38.89948, -77.00698), (38.89898, -77.00716), (38.8989, -77.00719), (38.8988, -77.00723), (38.89848, -77.00736), (38.89796, -77.00752), (38.89755, -77.00767), (38.8975, -77.00767), (38.89744, -77.00766), (38.89741, -77.00765), (38.89737, -77.00764), (38.89729, -77.00762), (38.89689, -77.00765), (38.89684, -77.00766), (38.89677, -77.00768), (38.89662, -77.00773), (38.89653, -77.00797), (38.89628, -77.00869), (38.89624, -77.00881), (38.89619, -77.00893), (38.89617, -77.00899), (38.89615, -77.00906), (38.89614, -77.00916), (38.89613, -77.00924), (38.89613, -77.00971), (38.89613, -77.01076), (38.89613, -77.01129), (38.89613, -77.01143), (38.89613, -77.01158), (38.89614, -77.01207), (38.89614, -77.01217), (38.89614, -77.01227), (38.89614, -77.01299), (38.89614, -77.01309), (38.89614, -77.01352), (38.89614, -77.01355), (38.89613, -77.01365), (38.89617, -77.0138), (38.89617, -77.01383), (38.89617, -77.01445), (38.89617, -77.015), (38.89616, -77.01503), (38.89613, -77.01517), (38.89613, -77.01532), (38.89613, -77.01572), (38.89613, -77.01607), (38.89614, -77.01618), (38.89615, -77.0163), (38.89615, -77.01641), (38.89616, -77.01657), (38.89616, -77.0182), (38.89615, -77.01858), (38.89614, -77.01882), (38.89614, -77.01893), (38.89613, -77.01905), (38.89613, -77.01945), (38.89613, -77.01976), (38.89613, -77.01991), (38.89614, -77.02006), (38.89614, -77.02178), (38.89614, -77.02192), (38.89614, -77.02204), (38.89614, -77.02284), (38.89614, -77.02297), (38.89614, -77.02309), (38.89614, -77.02352), (38.89613, -77.02384), (38.89614, -77.0239), (38.89614, -77.02397), (38.89615, -77.0241), (38.89614, -77.02521), (38.89614, -77.02587), (38.89614, -77.02599), (38.89614, -77.026)]"
247,"[(38.88412, -77.04448), (38.88417, -77.04444), (38.88427, -77.04443), (38.88433, -77.04448), (38.88465, -77.0449), (38.88471, -77.045), (38.88479, -77.04497), (38.88497, -77.04495), (38.8851, -77.04496), (38.88547, -77.04501), (38.88569, -77.04502), (38.88616, -77.04495), (38.88629, -77.04495), (38.88635, -77.04497), (38.8864, -77.04497), (38.88671, -77.04497), (38.88682, -77.04497), (38.88682, -77.0448), (38.88677, -77.04353), (38.88677, -77.04301), (38.88681, -77.0425), (38.8869, -77.04181), (38.88694, -77.04117), (38.88694, -77.041), (38.88695, -77.04085), (38.88695, -77.03812), (38.88695, -77.03794), (38.88694, -77.03764), (38.88694, -77.03761), (38.88694, -77.03749), (38.88694, -77.03689), (38.88695, -77.03662), (38.88697, -77.03634), (38.88699, -77.03607), (38.88701, -77.03584), (38.88704, -77.0356), (38.88707, -77.03539), (38.88711, -77.03516), (38.88714, -77.035), (38.88724, -77.0347), (38.88737, -77.03443), (38.88751, -77.0342), (38.88754, -77.03414), (38.88756, -77.03411), (38.88764, -77.03393), (38.88769, -77.03375), (38.8877, -77.03369), (38.88774, -77.03353), (38.88776, -77.03327), (38.88774, -77.03301), (38.88756, -77.03216), (38.88758, -77.03196), (38.88772, -77.03196), (38.88799, -77.03196), (38.88834, -77.03196), (38.88853, -77.03196), (38.88862, -77.03196), (38.8887, -77.03196), (38.88898, -77.03196), (38.88934, -77.03196), (38.89004, -77.03195), (38.89033, -77.03195), (38.89042, -77.03195), (38.8905, -77.03195), (38.89071, -77.03195), (38.8913, -77.03195), (38.89191, -77.03196), (38.89196, -77.03196), (38.8921, -77.03196), (38.8921, -77.03178), (38.8921, -77.03173), (38.8921, -77.0304), (38.8921, -77.02967), (38.89209, -77.02897), (38.89209, -77.02835), (38.89209, -77.02831), (38.89209, -77.02813), (38.89225, -77.02814), (38.8923, -77.02814), (38.89311, -77.02814), (38.89349, -77.02813), (38.8937, -77.02813), (38.89453, -77.02813), (38.89484, -77.02813), (38.89495, -77.02813), (38.89503, -77.02812), (38.89511, -77.02811), (38.89524, -77.02811), (38.89603, -77.0281), (38.89614, -77.02811), (38.89614, -77.02796), (38.89614, -77.02722), (38.89614, -77.02704), (38.89614, -77.02687), (38.89614, -77.02642), (38.89614, -77.0261), (38.89614, -77.026)]"
248,"[(38.89478, -76.97434), (38.89476, -76.97436), (38.89473, -76.97441), (38.89469, -76.97446), (38.89455, -76.97462), (38.89433, -76.97482), (38.89416, -76.97494), (38.89397, -76.97504), (38.89393, -76.97505), (38.89383, -76.97508), (38.89377, -76.9751), (38.89374, -76.97511), (38.89344, -76.97515), (38.89335, -76.97515), (38.89335, -76.97528), (38.89335, -76.9761), (38.89335, -76.97623), (38.89335, -76.97636), (38.89335, -76.97715), (38.89335, -76.97724), (38.89335, -76.97735), (38.89335, -76.9777), (38.89335, -76.97814), (38.89335, -76.97892), (38.89335, -76.979), (38.89335, -76.97908), (38.89335, -76.97987), (38.89335, -76.98067), (38.89335, -76.98076), (38.89335, -76.98086), (38.89335, -76.98136), (38.89335, -76.98146), (38.89337, -76.98164), (38.89334, -76.98214), (38.89334, -76.98221), (38.89333, -76.98231), (38.89333, -76.98279), (38.89333, -76.98291), (38.89334, -76.98305), (38.89337, -76.98324), (38.89341, -76.98339), (38.89346, -76.98355), (38.89349, -76.98366), (38.89352, -76.98376), (38.89356, -76.98388), (38.89358, -76.98404), (38.89358, -76.98415), (38.89357, -76.98424), (38.89357, -76.98449), (38.89357, -76.98457), (38.89357, -76.98465), (38.89358, -76.98498), (38.89357, -76.98539), (38.89357, -76.9855), (38.89357, -76.98561), (38.89357, -76.98647), (38.89358, -76.98696), (38.89358, -76.98711), (38.89358, -76.98724), (38.89357, -76.98821), (38.89357, -76.98831), (38.89357, -76.98841), (38.89357, -76.98879), (38.89357, -76.98917), (38.89357, -76.98926), (38.89358, -76.99013), (38.89358, -76.99024), (38.89358, -76.99036), (38.89358, -76.99144), (38.89358, -76.99153), (38.89358, -76.99163), (38.89358, -76.99209), (38.89358, -76.99254), (38.89358, -76.99265), (38.89358, -76.99365), (38.89358, -76.99376), (38.89358, -76.99388), (38.89358, -76.99414), (38.89358, -76.99451), (38.89358, -76.99485), (38.89358, -76.99496), (38.89358, -76.99507), (38.89358, -76.99558), (38.89358, -76.99607), (38.89358, -76.99617), (38.89358, -76.99628), (38.89358, -76.9969), (38.89358, -76.99766), (38.89358, -76.99833), (38.89359, -76.99847), (38.89378, -76.99845), (38.89391, -76.99852), (38.89397, -76.99857), (38.89402, -76.99864), (38.89408, -76.99875), (38.89408, -76.99918), (38.89408, -76.99929), (38.89408, -76.99941), (38.89408, -76.99951), (38.89408, -76.99961), (38.89408, -77.00006), (38.8941, -77.0003), (38.89411, -77.00052), (38.89412, -77.00058), (38.89412, -77.00063), (38.89417, -77.00088), (38.89422, -77.00107), (38.89434, -77.00138), (38.89458, -77.00195), (38.89461, -77.00204), (38.89465, -77.00213), (38.89472, -77.0023), (38.8948, -77.00251), (38.89479, -77.00274), (38.89479, -77.00343), (38.89479, -77.00351), (38.89479, -77.0036), (38.89479, -77.00427), (38.89479, -77.00438), (38.8948, -77.005), (38.8948, -77.00575), (38.8948, -77.00589), (38.8948, -77.00603), (38.8948, -77.00702), (38.8948, -77.00718), (38.8948, -77.00731), (38.89479, -77.00865), (38.8948, -77.00874), (38.89479, -77.00926), (38.89479, -77.00951), (38.8948, -77.00978), (38.89479, -77.0108), (38.89479, -77.01095), (38.89479, -77.01111), (38.89479, -77.01204), (38.89479, -77.01217), (38.89479, -77.01229), (38.89479, -77.01308), (38.89479, -77.01354), (38.89479, -77.01367), (38.89479, -77.0138), (38.8948, -77.01421), (38.8948, -77.01445), (38.89481, -77.01518), (38.89481, -77.01607), (38.89481, -77.01619), (38.89482, -77.01635), (38.89484, -77.01674), (38.89481, -77.01709), (38.89481, -77.01758), (38.89481, -77.01797), (38.89481, -77.01823), (38.89483, -77.01848), (38.89481, -77.01882), (38.8948, -77.01894), (38.8948, -77.01914), (38.8948, -77.01977), (38.8948, -77.01991), (38.8948, -77.02005), (38.8948, -77.02178), (38.8948, -77.02192), (38.8948, -77.02204), (38.8948, -77.02285), (38.8948, -77.02296), (38.89488, -77.02296), (38.89603, -77.02297), (38.89614, -77.02297), (38.89614, -77.02309), (38.89614, -77.02352), (38.89613, -77.02384), (38.89614, -77.0239), (38.89614, -77.02397), (38.89615, -77.0241), (38.89614, -77.02521), (38.89614, -77.02587), (38.89614, -77.02599), (38.89614, -77.026)]"
